tx_id,exp_date,dept_id,vendor_name,amount,description,month,anomaly_score,anomaly_status
1,2020-05-10,7,Vendor_61,11006.71,Standard operational expense,5,1,Normal
2,2022-06-27,2,Vendor_75,2424.32,Standard operational expense,6,1,Normal
3,2022-01-22,8,Vendor_24,5072.26,Standard operational expense,1,1,Normal
4,2018-11-06,6,Vendor_88,5643.18,Emergency Year-end Fund Utilization,11,1,Normal
5,2022-12-21,6,Vendor_64,19583.1,Emergency Year-end Fund Utilization,12,1,Normal
6,2020-08-13,5,Vendor_58,9300.47,Standard operational expense,8,1,Normal
7,2018-01-22,5,Vendor_49,6535.98,Standard operational expense,1,1,Normal
8,2019-04-20,3,Vendor_92,6057.93,Standard operational expense,4,1,Normal
9,2020-09-02,7,Vendor_47,6895.44,Standard operational expense,9,1,Normal
10,2019-07-17,4,Vendor_64,7762.09,Standard operational expense,7,1,Normal
11,2022-03-09,3,Vendor_7,12913.11,Standard operational expense,3,1,Normal
12,2023-08-31,1,Vendor_4,1069.27,Standard operational expense,8,1,Normal
13,2019-08-24,4,Vendor_9,8492.99,Standard operational expense,8,1,Normal
14,2021-09-25,4,Vendor_71,6658.27,Standard operational expense,9,1,Normal
15,2020-02-15,7,Vendor_81,2683.13,Standard operational expense,2,1,Normal
16,2023-05-10,2,Vendor_2,9971.58,Standard operational expense,5,1,Normal
17,2020-10-18,6,Vendor_4,3198.33,Standard operational expense,10,1,Normal
18,2022-02-09,7,Vendor_44,12650.04,Standard operational expense,2,1,Normal
19,2018-06-11,2,Vendor_14,13432.93,Standard operational expense,6,1,Normal
20,2020-03-26,7,Vendor_87,1418.54,Standard operational expense,3,1,Normal
21,2021-06-29,1,Vendor_85,14421.46,Standard operational expense,6,1,Normal
22,2018-12-04,7,Vendor_26,12448.19,Standard operational expense,12,1,Normal
23,2024-03-14,4,Vendor_41,9144.81,Standard operational expense,3,1,Normal
24,2021-03-26,7,Vendor_89,2562.48,Standard operational expense,3,1,Normal
25,2021-09-29,1,Vendor_88,3060.86,Standard operational expense,9,1,Normal
26,2021-03-08,3,Vendor_35,10632.17,Standard operational expense,3,1,Normal
27,2019-02-23,1,Vendor_41,9128.8,Standard operational expense,2,1,Normal
28,2023-12-23,1,Vendor_34,9387.14,Standard operational expense,12,1,Normal
29,2019-05-18,7,Vendor_37,10065.73,Standard operational expense,5,1,Normal
30,2023-11-17,4,Vendor_91,9599.61,Standard operational expense,11,1,Normal
31,2022-04-20,1,Vendor_47,5805.61,Standard operational expense,4,1,Normal
32,2022-01-25,3,Vendor_90,11435.7,Standard operational expense,1,1,Normal
33,2019-05-18,7,Vendor_27,3915.42,Standard operational expense,5,1,Normal
34,2019-01-28,7,Vendor_42,6470.36,Standard operational expense,1,1,Normal
35,2022-01-24,3,Vendor_52,568.29,Standard operational expense,1,1,Normal
36,2020-10-17,8,Vendor_23,10463.19,Standard operational expense,10,1,Normal
37,2024-03-28,5,Vendor_29,8143.63,Standard operational expense,3,1,Normal
38,2020-11-25,5,Vendor_59,1247.0,Standard operational expense,11,1,Normal
39,2022-12-25,2,Vendor_62,9402.88,Standard operational expense,12,1,Normal
40,2020-03-06,4,Vendor_84,3354.76,Standard operational expense,3,1,Normal
41,2023-06-05,3,Vendor_92,4932.74,Standard operational expense,6,1,Normal
42,2022-02-05,7,Vendor_1,13611.74,Standard operational expense,2,1,Normal
43,2021-11-01,3,Vendor_77,6463.91,Standard operational expense,11,1,Normal
44,2022-11-04,3,Vendor_72,203.59,Standard operational expense,11,1,Normal
45,2021-12-05,1,Vendor_97,7323.97,Standard operational expense,12,1,Normal
46,2021-06-11,4,Vendor_59,3737.47,Standard operational expense,6,1,Normal
47,2022-06-20,8,Vendor_62,10574.98,Standard operational expense,6,1,Normal
48,2022-03-01,2,Vendor_39,14440.46,Standard operational expense,3,1,Normal
49,2022-06-25,1,Vendor_59,14966.33,Standard operational expense,6,1,Normal
50,2023-12-01,2,Vendor_54,7589.92,Standard operational expense,12,1,Normal
51,2020-05-04,5,Vendor_1,5241.56,Standard operational expense,5,1,Normal
52,2022-07-20,2,Vendor_90,8010.93,Standard operational expense,7,1,Normal
53,2022-10-26,6,Vendor_68,22239.72,Emergency Year-end Fund Utilization,10,1,Normal
54,2018-07-22,8,Vendor_38,3640.8,Standard operational expense,7,1,Normal
